itemid	version1	version2	category	main-type	lev-dist	lev-dist-class	lendiff-chars	lendiff-words	insertion	deletion	capitalization	whitespace	italics	punctuation	hyphenation	numbers	condensation	expansion	tbc
1-1	Chapter	CHAPTER	script-identifiable	capitalization	6	major	0	0	0	0	1	0	0	0	0	0	0	0	0
6-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
6-2	a	the	other	tbc	3	minor	2	0	0	0	0	0	0	0	0	0	0	0	1
6-3	two months	month	other	condensation	5	minor	-5	-1	0	0	0	0	0	0	0	0	1	0	0
6-4	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
13-1	say	say,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
15-1	Cause	'Cause	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
18-1	program.	Program.	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
19-1	blah. The	blah, the	other	tbc	2	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
24-1	Well. That	Well, that	other	tbc	2	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
25-1	Well,	Okay,	other	tbc	4	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
32-1	age?	age.	script identifiable	punctuation	1	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
34-1	Well, guys,	Guys,	other	condensation	7	major	-6	-1	0	0	0	0	0	0	0	0	1	0	0
39-1	earth	Earth	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
41-1	only		other	deletion	4	minor	-4	0	0	1	0	0	0	0	0	0	0	0	0
41-2		only	other	insertion	4	minor	4	0	1	0	0	0	0	0	0	0	0	0	0
45-1	bums	burns	other	tbc	2	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
47-1	Argon	argon	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
48-1	Argon	argon	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
51-1	We did have fun, but		other	deletion	20	major	-20	-4	0	1	0	0	0	0	0	0	0	0	0
54-1	Descent Vehicle)	descent vehicle)	script-identifiable	capitalization	2	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
57-1	Having	having	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
57-2		of	other	insertion	2	minor	2	0	1	0	0	0	0	0	0	0	0	0	0
58-1	14	fourteen	script identifiable	numbers	8	major	6	0	0	0	0	0	0	0	0	1	0	0	0
61-1	tended	tend	other	tbc	2	minor	-2	0	0	0	0	0	0	0	0	0	0	0	1
62-1		that	other	insertion	4	minor	4	0	1	0	0	0	0	0	0	0	0	0	0
63-1	3	three	script identifiable	numbers	5	minor	4	0	0	0	0	0	0	0	0	1	0	0	0
66-1	"""Mars Ascent Vehicle."""	Mars ascent vehicle.	other	tbc	4	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
69-1	were	had been	other	expansion	7	major	4	1	0	0	0	0	0	0	0	0	0	1	0
69-2	pass	have passed	other	expansion	7	major	7	1	0	0	0	0	0	0	0	0	0	1	0
69-3	go back to Earth	gone home	other	condensation	12	major	-7	-2	0	0	0	0	0	0	0	0	1	0	0
71-1	13	thirteen	script identifiable	numbers	8	major	6	0	0	0	0	0	0	0	0	1	0	0	0
73-1	24	twenty-four	script identifiable	numbers	11	major	9	1	0	0	0	0	0	0	0	1	0	0	0
76-1	dying. Then	dying, and	other	tbc	5	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
77-1	km/hr.	kph.	other	tbc	3	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
78-1	km/hr	kph	other	tbc	3	minor	-2	-1	0	0	0	0	0	0	0	0	0	0	1
79-1		flight space	other	insertion	12	major	12	1	1	0	0	0	0	0	0	0	0	0	0
83-1	extent	extent,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
85-1	month-long	monthlong	script identifiable	hyphenation	1	minor	-1	-1	0	0	0	0	0	0	1	0	0	0	0
85-2	days	days,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
85-3	punishment	punishment,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
85-4	get	have gotten	other	expansion	9	major	8	1	0	0	0	0	0	0	0	0	0	1	0
85-5	here.	there.	other	tbc	1	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
91-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
91-2	end first.	end-first.	script identifiable	hyphenation	1	minor	0	0	0	0	0	0	0	0	1	0	0	0	0
92-1	butter	butter,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
93-1	suddenly		other	deletion	8	major	-8	0	0	1	0	0	0	0	0	0	0	0	0
97-1	face down,	facedown,	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
99-1	then		other	deletion	4	minor	-4	0	0	1	0	0	0	0	0	0	0	0	0
99-2	got	had been	other	expansion	8	major	5	1	0	0	0	0	0	0	0	0	0	1	0
102-1	face down,	facedown,	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
105-1	only		other	deletion	4	minor	-4	0	0	1	0	0	0	0	0	0	0	0	0
107-1	the blood	it	other	condensation	9	major	-7	-1	0	0	0	0	0	0	0	0	1	0	0
109-1	Seeing	Sensing	other	tbc	2	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
110-1	the	to	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
114-1	we had	I have	other	tbc	4	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
114-2	Oxygenator,	oxygenator,	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
114-3	could break CO2	breaks	script identifiable	numbers	10	major	-9	-2	0	0	0	0	0	0	0	1	0	0	0
114-4	and	CO2 to	script identifiable	numbers	6	major	3	1	0	0	0	0	0	0	0	1	0	0	0
115-1	spacesuits had	space suits have	other	tbc	3	minor	2	1	0	0	0	0	0	0	0	0	0	0	1
115-2	used	use	other	tbc	1	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
117-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
117-2	"""bloodletting""."	"""bloodletting."""	script identifiable	punctuation	2	minor	0	0	0	0	0	0	0	1	0	0	0	0	0
118-1	back-filled	backfilled	script identifiable	hyphenation	1	minor	-1	-1	0	0	0	0	0	0	1	0	0	0	0
128-1	I	I'd	other	tbc	2	minor	2	1	0	0	0	0	0	0	0	0	0	0	1
131-1	end,	end	script identifiable	punctuation	1	minor	-1	-1	0	0	0	0	0	1	0	0	0	0	0
134-1	valve	valve,	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
136-1	wound	Wound	script-identifiable	capitalization	1	minor	0	0	0	0	1	0	0	0	0	0	0	0	0
140-1	%	percent	other	expansion	7	major	6	-1	0	0	0	0	0	0	0	0	0	1	0
141-1	%.	percent.	other	expansion	7	major	6	0	0	0	0	0	0	0	0	0	0	1	0
142-1	ok,	okay,	other	tbc	2	minor	2	0	0	0	0	0	0	0	0	0	0	0	1
144-1	in-tact	intact	script identifiable	hyphenation	1	minor	-1	-1	0	0	0	0	0	0	1	0	0	0	0
146-1	moment I	moment-1	script identifiable	numbers	2	minor	0	0	0	0	0	0	0	0	0	1	0	0	0
148-1	in to	into	script identifiable	whitespace	1	minor	-1	-1	0	0	0	1	0	0	0	0	0	0	0
150-1	Entering	Once inside	other	tbc	7	major	3	1	0	0	0	0	0	0	0	0	0	0	1
153-1	9 stitches	nine stitches,	script identifiable	numbers	5	minor	4	1	0	0	0	0	0	0	0	1	0	0	0
155-1	communication	communications	other	tbc	1	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
159-1	communication	communications	other	tbc	1	minor	1	0	0	0	0	0	0	0	0	0	0	0	1
163-1	24	twenty-four	script identifiable	numbers	11	major	9	1	0	0	0	0	0	0	0	1	0	0	0
164-1	wait for no reason just to make the trip take longer?	wait?	other	condensation	48	major	-48	-10	0	0	0	0	0	0	0	0	1	0	0
165-1	biomonitor	bio-monitor	script identifiable	hyphenation	1	minor	1	1	0	0	0	0	0	0	1	0	0	0	0
166-1	others	other's	script identifiable	punctuation	1	minor	1	1	0	0	0	0	0	1	0	0	0	0	0
167-1	0,	zero,	script identifiable	numbers	4	minor	3	0	0	0	0	0	0	0	0	1	0	0	0
167-2	biosigns	bio-signs	script identifiable	hyphenation	1	minor	1	1	0	0	0	0	0	0	1	0	0	0	0
168-1	I was sent tumbling	watching me tumble	other	tbc	13	major	-1	-1	0	0	0	0	0	0	0	0	0	0	1
171-1	were	are	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
172-1	died	dies	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
172-2	stayed	stays	other	tbc	2	minor	-1	0	0	0	0	0	0	0	0	0	0	0	1
173-1	reduced	reduces	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
174-1	meant	means	other	tbc	1	minor	0	0	0	0	0	0	0	0	0	0	0	0	1
180-1	31	thirty-one	script identifiable	numbers	10	major	8	1	0	0	0	0	0	0	0	1	0	0	0
